type	latitude	longitude	altitude (m)	name	desc
T	63.426847000	10.305090000	-1.0	Tour 2	stroke=#2593d9<br> fill=#2593d9<br> stroke-opacity=1<br> stroke-width=3
T	63.426892000	10.304835000	310.8		
T	63.426715000	10.304678000	310.4		
T	63.426684000	10.304814000	309.6		
T	63.426528000	10.305027000	308.9		
T	63.426273000	10.304994000	307.3		
T	63.425854000	10.305177000	305.8		
T	63.425555000	10.305526000	301.5		
T	63.425471000	10.305984000	299.9		
T	63.425451000	10.306561000	299.2		
T	63.425516000	10.307028000	297.9		
T	63.425656000	10.307356000	297.9		
T	63.425803000	10.307948000	297.7		
T	63.425802000	10.308456000	298.5		
T	63.425941000	10.308967000	309.0		
T	63.425938000	10.309231000	306.3		
T	63.425804000	10.309567000	306.0		
T	63.425671000	10.309643000	301.6		
T	63.425731000	10.310021000	300.3		
T	63.425784000	10.310983000	299.6		
T	63.425819000	10.311076000	299.8		
T	63.425851000	10.311514000	299.0		
T	63.426026000	10.312361000	298.1		
T	63.426195000	10.313531000	294.1		
T	63.426209000	10.314114000	291.9		
T	63.426435000	10.314888000	290.1		
T	63.426426000	10.315292000	287.9		
T	63.426438000	10.315478000	284.2		
T	63.426335000	10.315577000	283.2		
T	63.426263000	10.315500000	282.6		
T	63.426155000	10.315492000	281.8		
T	63.425937000	10.314971000	281.7		
T	63.425809000	10.314758000	281.8		
T	63.425809000	10.314758000	281.8		
T	63.425937000	10.314971000	281.7		
T	63.426155000	10.315492000	281.8		
T	63.426225000	10.315644000	282.1		
T	63.426310000	10.316024000	282.9		
T	63.426368000	10.316137000	282.9		
T	63.426536000	10.316195000	282.9		
T	63.426558000	10.316269000	282.6		
T	63.426551000	10.316501000	282.4		
T	63.426512000	10.316733000	282.2		
T	63.426384000	10.316979000	282.1		
T	63.426226000	10.317468000	282.1		
T	63.426197000	10.317669000	282.3		
T	63.426205000	10.318280000	281.6		
T	63.426259000	10.318950000	284.1		
T	63.426252000	10.319114000	284.1		
T	63.426268000	10.319205000	284.2		
T	63.426433000	10.319685000	284.3		
T	63.426457000	10.319857000	285.9		
T	63.426461000	10.320135000	285.3		
T	63.426410000	10.320338000	285.2		
T	63.426409000	10.320538000	285.2		
T	63.426672000	10.321756000	284.9		
T	63.426600000	10.321790000	282.5		
T	63.426556000	10.321852000	282.3		
T	63.426478000	10.322135000	282.1		
T	63.426416000	10.322215000	282.0		
T	63.426351000	10.322244000	281.9		
T	63.426203000	10.322162000	282.0		
T	63.426172000	10.322187000	280.0		
T	63.426149000	10.322217000	273.9		
T	63.426103000	10.322673000	270.7		
T	63.426103000	10.322673000	270.7		
T	63.426149000	10.322217000	273.9		
T	63.426203000	10.322162000	282.0		
T	63.426351000	10.322244000	281.9		
T	63.426416000	10.322215000	282.0		
T	63.426478000	10.322135000	282.1		
T	63.426556000	10.321852000	282.3		
T	63.426600000	10.321790000	282.5		
T	63.426672000	10.321756000	284.9		
T	63.426689000	10.321882000	284.6		
T	63.426681000	10.322197000	282.9		
T	63.426836000	10.323138000	282.8		
T	63.427093000	10.323756000	283.0		
T	63.427400000	10.323816000	283.2		
T	63.427531000	10.323949000	283.1		
T	63.427772000	10.324380000	281.6		
T	63.427862000	10.324852000	281.3		
T	63.428094000	10.325662000	279.4		
T	63.428115000	10.325817000	276.3		
T	63.428111000	10.325948000	276.0		
T	63.428025000	10.326321000	275.7		
T	63.428019000	10.326475000	275.6		
T	63.428043000	10.326670000	275.6		
T	63.427977000	10.326938000	275.6		
T	63.427985000	10.327229000	273.2		
T	63.428047000	10.327384000	273.3		
T	63.428132000	10.327467000	273.4		
T	63.428228000	10.327499000	273.4		
T	63.428421000	10.327791000	273.4		
T	63.428600000	10.327948000	273.3		
T	63.428831000	10.328621000	273.1		
T	63.429044000	10.329052000	271.9		
T	63.428933000	10.329173000	259.6		
T	63.428759000	10.329439000	256.5		
T	63.428759000	10.329439000	256.5		
T	63.428567000	10.329732000	253.5		
T	63.428409000	10.330070000	251.6		
T	63.428341000	10.330445000	250.9		
T	63.428231000	10.330853000	250.1		
T	63.427986000	10.331143000	248.3		
T	63.427900000	10.331346000	247.5		
T	63.427833000	10.331443000	247.6		
T	63.427583000	10.332163000	235.7		
T	63.427690000	10.332586000	234.8		
T	63.427900000	10.332888000	234.0		
