type	latitude	longitude	altitude (m)	name	desc
T	63.373581000	10.172567000	-1.0	Tour 3	stroke=#2593d9<br> fill=#2593d9<br> stroke-opacity=1<br> stroke-width=3
T	63.373479000	10.172215000	104.0		
T	63.375004000	10.170020000	102.0		
T	63.375396000	10.169531000	102.1		
T	63.375371000	10.169400000	101.4		
T	63.375975000	10.168946000	102.7		
T	63.376092000	10.168893000	103.6		
T	63.376693000	10.168753000	105.3		
T	63.377939000	10.168378000	106.3		
T	63.378315000	10.168246000	106.4		
T	63.378538000	10.168128000	106.2		
T	63.378891000	10.167867000	106.2		
T	63.379738000	10.166881000	105.5		
T	63.379756000	10.167047000	106.1		
T	63.382055000	10.164502000	104.0		
T	63.382818000	10.163692000	103.1		
T	63.383538000	10.163087000	102.6		
T	63.385727000	10.161377000	101.9		
T	63.386218000	10.161048000	101.0		
T	63.386432000	10.160997000	101.5		
T	63.386679000	10.161024000	101.5		
T	63.387523000	10.161345000	102.9		
T	63.387862000	10.161438000	103.1		
T	63.388409000	10.161440000	102.6		
T	63.392574000	10.161124000	100.1		
T	63.392574000	10.161124000	100.1		
T	63.394017000	10.161017000	103.8		
T	63.393951000	10.159299000	96.9		
T	63.393915000	10.158764000	95.6		
T	63.393856000	10.158192000	95.3		
T	63.393733000	10.157361000	93.2		
T	63.393582000	10.156558000	93.2		
T	63.393241000	10.155153000	89.2		
T	63.392902000	10.153829000	87.9		
T	63.392712000	10.153165000	87.5		
T	63.392007000	10.151235000	85.1		
T	63.391820000	10.150873000	84.5		
T	63.391687000	10.150699000	84.2		
T	63.391189000	10.150180000	82.7		
T	63.391092000	10.150040000	82.5		
T	63.391009000	10.149865000	82.3		
T	63.390924000	10.149521000	82.2		
T	63.390871000	10.149081000	81.9		
T	63.390828000	10.148492000	81.5		
T	63.390763000	10.148046000	81.4		
T	63.390463000	10.146605000	80.8		
T	63.390426000	10.146378000	80.8		
T	63.390405000	10.146113000	80.7		
T	63.390476000	10.144415000	80.5		
T	63.390478000	10.143608000	80.4		
T	63.390453000	10.142812000	80.3		
T	63.390423000	10.142330000	80.3		
T	63.390307000	10.141187000	80.2		
T	63.389992000	10.138716000	79.8		
T	63.389942000	10.138181000	79.7		
T	63.389933000	10.137815000	79.6		
T	63.389942000	10.137611000	79.6		
T	63.390051000	10.136879000	79.5		
T	63.390210000	10.135994000	79.5		
T	63.390247000	10.135380000	79.4		
T	63.390311000	10.134651000	79.5		
T	63.390339000	10.133762000	79.5		
T	63.390377000	10.133400000	79.6		
T	63.390463000	10.133065000	79.6		
T	63.390565000	10.132759000	79.7		
T	63.390844000	10.132102000	79.9		
T	63.390915000	10.132005000	79.9		
T	63.391367000	10.131560000	80.0		
T	63.391477000	10.131391000	80.0		
T	63.391561000	10.131210000	80.0		
T	63.391674000	10.130796000	80.0		
T	63.391724000	10.130390000	80.3		
T	63.391718000	10.130126000	80.3		
T	63.391684000	10.129970000	80.3		
T	63.391609000	10.129740000	80.3		
T	63.391418000	10.129307000	80.3		
T	63.391304000	10.128975000	80.3		
T	63.391250000	10.128764000	80.4		
T	63.391024000	10.125279000	80.9		
T	63.390988000	10.124064000	80.8		
T	63.391028000	10.122886000	80.8		
T	63.390997000	10.122623000	80.5		
T	63.390938000	10.122508000	80.3		
T	63.390679000	10.122255000	80.2		
T	63.390572000	10.122091000	80.2		
T	63.390461000	10.121879000	80.2		
T	63.390358000	10.121598000	80.3		
T	63.390229000	10.121073000	80.3		
T	63.389644000	10.118240000	80.5		
T	63.389468000	10.117524000	80.5		
T	63.389317000	10.117007000	80.4		
T	63.389203000	10.116697000	80.4		
T	63.388888000	10.116039000	80.4		
T	63.388391000	10.115193000	80.7		
T	63.388023000	10.114819000	81.5		
T	63.388023000	10.114819000	81.5		
T	63.387051000	10.113988000	83.7		
T	63.386765000	10.113876000	84.0		
T	63.386518000	10.113864000	84.1		
T	63.386133000	10.113982000	85.1		
T	63.385683000	10.114189000	86.1		
T	63.384847000	10.114644000	87.7		
T	63.382686000	10.115726000	89.7		
T	63.381940000	10.116131000	89.7		
T	63.381024000	10.116839000	89.8		
T	63.380711000	10.117090000	89.9		
T	63.380551000	10.117304000	90.0		
T	63.380487000	10.117459000	89.7		
T	63.380458000	10.117615000	89.5		
T	63.380423000	10.118066000	89.4		
T	63.380334000	10.121332000	83.6		
T	63.380295000	10.121914000	83.4		
T	63.380195000	10.122627000	83.0		
T	63.380124000	10.122982000	82.9		
T	63.379910000	10.123864000	81.9		
T	63.379604000	10.124974000	80.7		
T	63.379432000	10.125711000	80.6		
T	63.379359000	10.126089000	80.4		
T	63.378873000	10.129262000	76.2		
T	63.378697000	10.130188000	75.2		
T	63.378569000	10.130518000	74.3		
T	63.378440000	10.130721000	74.0		
T	63.378055000	10.131147000	72.5		
T	63.377817000	10.131356000	72.2		
T	63.377411000	10.131775000	70.4		
T	63.377096000	10.132202000	68.0		
T	63.376879000	10.132603000	67.0		
