type	latitude	longitude	altitude (m)	name	desc
T	61.097958000	9.222336000	-1.0	jk	stroke=#2593d9<br> fill=#2593d9<br> stroke-opacity=1<br> stroke-width=3
T	61.094515000	9.228956000	1062.1		
T	61.094883000	9.230425000	1060.6		
T	61.094909000	9.231230000	1059.6		
T	61.095064000	9.232485000	1058.0		
T	61.095251000	9.234577000	1054.9		
T	61.095381000	9.235650000	1053.8		
T	61.095362000	9.235847000	1053.2		
T	61.095382000	9.236426000	1053.8		
T	61.095533000	9.237767000	1054.9		
T	61.095802000	9.239098000	1058.3		
T	61.096435000	9.241437000	1060.3		
T	61.096705000	9.241608000	1060.9		
T	61.096798000	9.242059000	1056.6		
T	61.097244000	9.243389000	1054.1		
T	61.097514000	9.244398000	1050.4		
T	61.097763000	9.244913000	1048.4		
T	61.097887000	9.245535000	1047.8		
T	61.098136000	9.246200000	1046.1		
T	61.098312000	9.246286000	1045.8		
T	61.098758000	9.246629000	1044.8		
T	61.098955000	9.247037000	1045.1		
T	61.099888000	9.248453000	1052.1		
T	61.100334000	9.248625000	1057.5		
T	61.100625000	9.248840000	1059.9		
T	61.101012000	9.249630000	1066.5		
T	61.101624000	9.250746000	1069.2		
T	61.102049000	9.251357000	1071.1		
T	61.102132000	9.252151000	1071.9		
T	61.102391000	9.253782000	1072.8		
T	61.102707000	9.255145000	1076.8		
T	61.103200000	9.256378000	1078.7		
T	61.103464000	9.257172000	1078.0		
T	61.103635000	9.258063000	1072.6		
T	61.103739000	9.259007000	1064.5		
T	61.103884000	9.260767000	1052.3		
T	61.103931000	9.261678000	1046.8		
T	61.103812000	9.263535000	1034.8		
T	61.103526000	9.265283000	1015.4		
T	61.103245000	9.266834000	997.3		
T	61.103352000	9.267079000	993.1		
T	61.103590000	9.267336000	993.0		
T	61.103819000	9.268107000	987.4		
T	61.103763000	9.268631000	981.4		
T	61.103714000	9.268941000	981.2		
T	61.103703000	9.269719000	975.0		
T	61.103869000	9.269441000	978.2		
T	61.103958000	9.269342000	978.3		
T	61.104035000	9.269314000	978.2		
T	61.104187000	9.269333000	980.3		
T	61.104184000	9.270551000	967.3		
T	61.104136000	9.271103000	966.0		
T	61.104126000	9.271550000	964.8		
T	61.103993000	9.272322000	961.9		
T	61.103951000	9.272719000	961.7		
T	61.103963000	9.272902000	961.8		
T	61.104012000	9.273196000	961.9		
T	61.104142000	9.273689000	961.6		
T	61.104189000	9.273934000	961.5		
T	61.104298000	9.274717000	956.2		
